StarID	Hip	ProperName	RA	Dec	Mag
69172	95677		19.46113602	-18.35075092	7.19
69175	95680		19.4614114	4.70969574	6.73
69177	95682		19.46170938	12.48786479	7.39
69179	95684		19.46201923	-40.09693528	7.15
69183	95690	 	19.46336742	-54.32529723	5.7
69189	95697		19.46439289	2.17431744	7.24
69190	95698		19.46447857	-4.81777005	7.38
69191	95699		19.46475775	33.37404655	7.36
69192	95700		19.46501736	20.24740333	6.88
69202	95713		19.46812754	-18.35928501	6.73
69206	95717		19.46841259	17.84677401	6.89
69207	95718		19.4684791	-69.63203953	6.72
69208	95719		19.46941916	54.77977312	7.44
69209	95720		19.46972583	-73.09044264	7.05
69211	95722		19.47007239	-12.14461006	7.57
69215	95727		19.47049122	14.00152237	9
69216	95728		19.47051729	29.45033069	6.57
69218	95730		19.47095203	12.53600021	9.17
69220	95732	 	19.47244353	2.9300672	5.84
69229	95744		19.47394264	24.99542948	7.14
69238	95755		19.47648103	-15.10229301	6.77
69239	95757		19.47663982	8.8636087	7.45
69246	95764		19.47736707	39.94085004	6.9
69248	95767		19.47787665	3.69398306	7.33
69252	95771	 	19.4784475	24.66516482	4.44
69253	95772		19.47955385	11.02705223	7.45
69255	95774		19.47968541	-36.00025931	7.46
69257	95776		19.47973085	67.6266728	7.46
69264	95785	 	19.48252154	24.76868131	5.82
69269	95791		19.48333522	12.85819711	7.45
69271	95793	 	19.48360792	1.95052861	5.79
69273	95795		19.48413812	-49.87479015	8.87
69280	95808		19.48762108	30.54913022	7.4
69281	95812	 	19.48833871	0.24610506	6.25
69285	95818	 	19.48913785	20.27977762	6.34
69287	95820	 	19.48926694	-7.04406367	6.37
69288	95821	 	19.4892947	31.60965599	6.96
69289	95822	 	19.48947892	14.59607671	5.57
69290	95823	 	19.48993637	-43.44491571	5.7
69293	95829		19.49065534	0.52871908	10.73
69297	95833		19.49168196	36.28724911	6.66
69302	95842		19.49272652	-15.35873373	7.12
69306	95847		19.49383371	-12.64662257	6.89
69307	95849		19.49460214	-30.79712295	7.13
69309	95853	 	19.49509425	51.72946747	3.76
69314	95864		19.49753912	-37.03792368	9.03
69315	95865	 	19.49782566	-26.9855106	5.52
69316	95866	 	19.49794059	-55.44159258	6.14
69317	95867		19.49798799	22.70663119	7.35
69329	95879		19.49969508	46.94648564	6.88
69335	95886		19.50130535	-0.44494441	7.34
69338	95890		19.50155932	21.67660689	9.98
